ccaa,ccaa,porcentaje 65 y más
"ASTURIAS, PRINCIPADO DE",Asturias,27.158336037329075
CASTILLA Y LEÓN,Castilla y León,26.219780497673479
GALICIA,Galicia,26.115569656386409
PAÍS VASCO,País Vasco,23.209991603922518
CANTABRIA,Cantabria,23.072179459585037
ARAGÓN,Aragón,22.086306797404841
"RIOJA, LA",La Rioja,21.523201580533431
EXTREMADURA,Extremadura,21.494895598686355
"NAVARRA, COMUNIDAD FORAL DE",Navarra,20.269922317904825
COMUNITAT VALENCIANA,Com. Valenciana,19.973079464814113
TOTAL ESPAÑA,ESPAÑA,19.966142479624192
CATALUÑA,Cataluña,19.27203860169589
CASTILLA - LA MANCHA,Castilla-La Mancha,19.261754575985911
"MADRID, COMUNIDAD DE",Madrid,18.314777219978382
ANDALUCÍA,Andalucía,17.964169494153481
CANARIAS,Canarias,17.122047517083384
"BALEARS, ILLES",Baleares,16.341607891496178
"MURCIA, REGIÓN DE",Murcia,16.113489455426606
CEUTA Y MELILLA,Ceuta y Melilla,11.828602328165575
